Kurtosis, Skewness, Std, Range, Median, Geometric_Mean, Mobility, Complexity, Tag
2.495,0.65634,182.9388,764,208.5,170.3837,0.18531,1.5785,0
6.8157,2.0368,288.9517,1415,127,153.5691,0.2039,1.1951,0
56.7249,6.3033,589.1146,6541,108.5,109.9324,0.54232,0.74877,0
10.6203,2.5263,247.6587,1550,179,161.5682,0.21708,1.3914,0
13.161,2.54,287.7247,2287,147.5,155.5756,0.31227,1.3578,0
18.6045,3.8123,320.8062,2083,205,162.4391,0.14418,0.85987,0
36.6792,5.5826,968.4939,7955,5,24.6779,0.3535,0.93119,0
2.2915,0.56163,194.2525,723,210,163.6788,0.10413,1.564,0
1.5818,-0.31218,182.5544,542,311,142.5821,0.080534,1.5574,0
42.6334,6.0514,626.7973,5362,106,126.2843,0.39979,1.094,0
4.2067,0.25216,110.4448,759,267.5,224.4941,0.25089,1.6878,0
10.908,2.8526,526.0789,2677,24,117.0746,0.12023,0.98564,0
3.0387,1.0598,243.9637,903,186.5,139.2545,0.073711,1.5685,0
12.257,2.6036,270.2106,1783,236.5,151.0645,0.20762,1.0907,0
184.3886,12.6767,644.1118,9726,177.5,140.4196,0.6962,0.642,0
20.5981,3.8945,288.4069,2039,203.5,181.5111,0.29107,1.4223,0
10.4223,2.4907,418.6499,2592,32.5,241.2234,0.41591,1.3653,0
5.2192,1.4901,237.227,1192,199.5,155.4686,0.17906,1.3383,0
1.9939,0.60839,208.5389,709,175,152.0353,0.17245,1.679,0
19.8216,3.9245,356.6896,2473,155.5,154.1316,0.32653,1.2241,0
12.7384,3.2547,714.0893,3493,17,30.3996,0.11687,0.7316,0
20.8083,4.1741,567.056,3577,98,98.3078,0.17766,0.77776,0
36.8308,4.5096,174.8752,1921,210,219.8763,0.26891,0.97595,0
35.0526,4.1173,143.6359,1547,242.5,229.6592,0.32421,1.0891,0
1.3992,0.041984,194.4416,564,268,155.1503,0.065498,1.5804,0
66.8999,7.4498,603.0397,6448,98,138.4985,0.63464,1.2724,0
11.2963,2.6848,298.7562,1689,184,160.2822,0.12753,0.88374,0
69.1588,6.4685,488.1577,5841,51,66.1637,0.79885,1.5266,0
88.9065,8.2724,305.8499,3816,201,206.7129,0.81637,1.346,0
5.3187,1.7589,372.0219,1555,86.5,98.033,0.11413,1.1154,0
43.1443,4.607,314.3176,3445,111.5,134.7807,0.41708,0.8781,0
2.0776,0.15017,128.0877,641,295.5,219.723,0.19649,1.5382,0
14.4565,2.393,191.8006,1427,279.5,169.0675,0.21828,1.2055,0
4.312,1.2715,207.9714,1017,212,169.7287,0.20495,1.5389,0
7.4823,1.7493,348.0908,2377,75,95.8857,0.38511,1.417,0
2.5016,0.68735,180.4037,732,174,184.8136,0.17954,1.6811,0
49.294,4.9744,208.6717,2432,188,204.783,0.3409,0.90549,0
2.869,1.061,284.376,980,136.5,93.273,0.069274,1.621,0
3.5786,0.83378,228.9133,1332,213,133.7049,0.32522,1.7055,0
10.1143,2.8103,531.077,2520,43,45.6647,0.090702,0.67707,0
5.3131,1.7864,420.5085,1984,39,62.2781,0.24862,1.5374,0
4.8966,1.4232,198.1571,932,197.5,164.8663,0.08193,1.4446,0
30.2451,4.8135,592.7165,4754,76.5,107.5169,0.27274,0.91789,0
120.2105,9.3733,434.4552,5977,182,147.6149,0.94195,1.431,0
2.7597,1.0105,275.3598,933,135.5,149.6221,0.072267,1.4801,0
1.8551,0.60584,292.3861,961,50.5,99.2098,0.088323,1.4072,0
4.1895,0.48337,136.9307,798,273.5,207.1839,0.25688,1.5632,0
3.2954,1.3378,307.0994,1040,88,127.347,0.072073,1.5368,0
30.7934,5.3298,1106.0336,7251,4,36.9688,0.27142,0.76113,0
20.8854,3.9226,350.141,2506,199,145.8653,0.43721,1.5389,0
5.521,1.9046,402.7325,1576,59.5,87.7347,0.078761,1.0788,0
31.9109,5.3887,1149.5273,8457,10,15.1302,0.27413,0.72974,0
6.27,1.3563,213.5314,1202,254,162.6861,0.13585,1.3705,0
1.9452,-0.33975,125.7964,459,281.5,206.6138,0.084786,1.6628,0
17.2944,3.6014,505.7506,3277,66,89.2723,0.30693,1.4477,0
13.8102,3.2541,399.4314,2289,133,131.0343,0.18461,0.67467,0
147.7401,10.6625,288.929,4254,172.5,204.6676,0.84291,1.2485,0
17.6193,3.9598,708.7698,3972,69,65.5497,0.30931,1.2145,0
4.9444,1.3193,207.1551,1106,210,160.8929,0.15671,1.3131,0
5.0666,1.3932,172.7758,897,194.5,207.199,0.17878,1.1393,0
89.3135,7.3417,173.9058,2307,229,225.5926,0.65858,1.5772,0
30.7174,5.1171,908.3734,7412,36,61.0473,0.30437,1.0059,0
9.2635,2.2886,254.658,1446,173,175.915,0.15814,1.1964,0
18.0821,3.8102,581.9025,3774,68,74.5595,0.38909,1.2444,0
58.1796,5.6294,427.4356,4952,54.5,75.5559,0.52289,0.72238,0
14.3088,3.3902,626.9993,3567,24,39.6425,0.18224,1.2713,0
10.5308,2.5956,286.048,1558,147,157.556,0.18243,1.0365,0
3.1397,1.1316,325.2571,1409,39,74.6164,0.16348,1.3673,0
72.7599,6.3978,234.8327,2978,218.5,175.2324,0.60302,1.5916,0
19.7605,4.0951,931.6681,6152,2,7.0021,0.30884,1.1363,0
3.8498,1.2641,318.6708,1238,93,59.4599,0.10157,1.2895,0
7.0454,2.1973,407.81,1836,92.5,106.2396,0.13108,1.3595,0
1.9906,0.26637,180.8983,629,247.5,144.5742,0.10787,1.5736,0
10.8478,2.3239,355.4422,2567,73.5,108.1561,0.29999,1.6593,0
3.3669,1.3398,312.4232,1066,85,125.3851,0.077124,1.5881,0
1.8477,0.56275,178.5366,634,181,191.2041,0.09843,1.4058,0
4.5239,1.5232,321.8336,1387,99,81.3751,0.096979,1.2464,0
12.5031,2.7623,281.055,1913,183.5,149.0865,0.33493,1.5485,0
1.548,0.060961,148.4036,495,265.5,200.7494,0.11083,1.6566,0
4.6584,1.3248,235.6253,1180,189,138.0373,0.21963,1.7131,0
39.1108,4.4487,221.0685,2409,187,201.2075,0.40665,1.1394,0
12.5806,2.952,358.0544,2258,135,130.8618,0.43036,1.6346,0
3.1393,1.1367,216.9922,787,181,172.4192,0.11414,1.6231,0
187.4017,12.6383,365.4777,5636,266.5,180.0353,1.0511,1.3668,0
25.7732,3.7101,203.0662,1868,196.5,209.2563,0.50065,1.4797,0
9.7616,2.5316,467.0816,2642,40.5,136.1749,0.198,1.2889,0
62.2629,5.9973,231.5647,2787,218,192.5898,0.68894,1.5339,0
2.1558,0.66563,255.7261,825,189,88.5274,0.11766,1.6391,0
1.3289,-0.23203,182.794,507,318.5,135.2117,0.078183,1.6898,0
11.9404,2.035,159.9361,1293,245.5,201.1617,0.25179,1.3577,0
15.8889,3.6079,438.2764,2402,131,99.2419,0.25712,1.351,0
3.1459,0.81916,235.1252,1031,226,93.1027,0.11828,1.282,0
2.0522,-0.17892,157.6685,681,305.5,162.6376,0.10363,1.6198,0
34.8317,5.5179,757.2639,5757,84.5,79.6865,0.38318,1.245,0
2.9198,0.90099,188.861,807,189,183.6031,0.096844,1.3777,0
5.5152,1.2722,241.735,1256,236,148.8853,0.18558,1.5151,0
5.2343,1.8127,341.5491,1397,96,104.4136,0.086923,1.3188,0
6.6913,1.865,320.4752,1735,87,95.0584,0.22218,1.1081,0
3.9965,-0.023593,138.0169,799,278,181.9605,0.23497,1.6698,0
25.8743,4.5688,545.0613,4171,103.5,127.4535,0.36394,0.98413,0
54.9744,5.6866,190.212,2274,213,213.1153,0.24186,0.97944,0
127.1048,9.6569,472.8011,6587,117,116.3793,0.90146,1.3912,0
4.6683,1.6565,305.67,1426,138.5,129.0727,0.1147,1.3521,0
136.9825,10.6491,895.9287,12410,42.5,68.2857,0.67811,0.92042,0
3.7324,1.306,233.8357,902,192.5,158.1301,0.071582,1.4879,0
21.5637,4.0191,325.2152,2276,174,168.8249,0.20648,0.96149,0
2.9751,0.85514,245.3205,986,213.5,97.3098,0.11703,1.4937,0
3.6854,0.81039,162.6676,754,241.5,179.1342,0.13555,1.5373,0
4.6327,1.4416,206.262,954,204.5,182.1475,0.10709,1.337,0
2.1824,0.68289,261.9151,828,185.5,176.8144,0.1226,1.3042,0
7.6848,2.4334,477.053,1953,50.5,80.4733,0.092885,1.013,0
24.9924,4.2915,801.8897,6447,8,17.4435,0.5188,1.2758,0
1.9285,0.53672,233.462,748,188,139.4198,0.067121,1.5706,0
4.9511,1.456,213.0171,1090,198.5,179.9905,0.14781,1.4239,0
6.3964,1.9585,385.4175,1837,71,62.8895,0.18037,1.4548,0
8.441,1.5457,196.0483,1399,213,161.8768,0.1844,1.0516,0
24.4466,4.086,316.2573,2413,165,149.8021,0.30441,1.2192,0
245.6515,15.5124,1257.7176,20127,121,120.9518,0.96255,0.25971,0
8.3287,2.4118,302.6327,1460,138,152.8935,0.21781,1.5233,0
8.0259,1.8625,207.1193,1331,228.5,186.028,0.32906,1.5394,0
4.0329,1.2631,255.7356,1169,171.5,127.7311,0.17048,1.453,0
5.386,1.5996,252.0416,1230,159,144.6577,0.12253,1.3059,0
158.4584,11.5003,388.8764,5701,185,205.3655,0.95524,1.4075,0
2.118,0.61823,240.8796,813,194.5,96.9663,0.069679,1.676,0
1.5164,0.12994,170.2947,518,231.5,182.8402,0.14607,1.678,0
2.0542,-0.57751,124.2497,474,298,198.9836,0.093388,1.604,0
3.2858,1.2808,231.7932,885,172,175.844,0.18599,1.4034,0
9.3511,2.3666,313.7969,1849,125,126.3066,0.20315,1.3922,0
23.4681,4.1296,567.4486,3863,47.5,71.7881,0.45606,1.3845,0
5.5328,1.9388,376.671,1404,92,100.293,0.082313,1.0328,0
2.0594,0.12073,125.654,579,257.5,218.7483,0.14612,1.5942,0
3.2061,0.76696,244.7046,1223,255,100.46,0.15797,1.4522,0
2.3185,0.35848,132.6007,580,243,209.4855,0.1169,1.5617,0
2.5651,1.0737,295.1402,905,82.5,113.6853,0.084989,1.3158,0
7.2503,2.2336,278.0447,1284,173,162.6797,0.093768,1.2951,0
2.7851,0.7629,253.6511,1052,242,175.2819,0.14672,1.3151,0
36.1368,5.3637,903.3614,8199,20,21.2004,0.37561,1.3424,0
211.7815,13.9499,469.688,7357,211,198.688,1.0847,1.2424,0
18.3777,3.5569,461.8238,2996,84.5,98.7794,0.22638,1.1773,0
5.5735,1.7495,320.7251,1343,102,102.8725,0.085862,0.99978,0
6.9057,2.2091,287.5985,1411,122.5,176.0354,0.3079,1.4529,0
2.214,0.56041,232.2203,882,238.5,103.9946,0.10058,1.3454,0
7.9069,1.7778,177.8783,1028,237.5,183.7384,0.11004,1.2319,0
43.245,5.9202,707.1491,6216,73,104.7411,0.40289,1.0452,0
2.7991,0.87225,208.3865,798,188,158.5742,0.13389,1.5742,0
93.259,7.6855,243.5378,3216,220,203.7497,0.5137,0.90578,0
5.3257,1.5882,235.0704,1203,195,149.0178,0.16181,1.4249,0
180.3159,12.2834,350.7019,5386,227.5,220.065,1.0454,1.3682,0
140.7342,10.5332,258.1231,3743,206,221.6823,0.45086,0.72555,0
9.5357,2.7403,436.8824,2076,106,93.7012,0.15951,1.4077,0
2.6739,0.98315,172.9142,724,179,206.8615,0.16829,1.5136,0
14.072,1.4794,82.0519,810,251.5,241.8697,0.26922,1.6454,0
2.5697,0.63313,191.6777,707,199.5,154.3577,0.087868,1.6218,0
28.1381,3.9754,343.0934,3299,148,146.08,0.29733,0.89251,0
2.2148,0.9107,220.448,729,125,175.6523,0.072135,1.5803,0
6.8541,2.0277,351.3466,1776,84,126.3376,0.22687,1.6185,0
11.1087,2.8829,580.9441,2919,12,26.0536,0.22184,1.2369,0
223.6503,14.5341,1176.6895,18418,128,117.8292,1.2131,0.92326,0
180.3563,12.3386,512.848,7756,139.5,139.6839,1.0834,1.1723,0
2.0445,0.86039,357.091,1184,7,37.7781,0.20607,1.7254,0
4.7074,1.2749,225.5258,1205,190.5,164.5063,0.19765,1.2186,0
3.2249,-0.11307,104.5912,475,249.5,222.3189,0.10071,1.6507,0
2.9449,0.49304,140.6439,663,235.5,205.782,0.20534,1.6319,0
8.2875,2.122,241.8393,1382,208.5,172.1984,0.20851,1.5829,0
4.4706,1.2235,203.8092,1030,214,180.3197,0.11262,1.3497,0
12.7384,3.0828,355.0643,1919,129.5,147.1107,0.10583,0.844,0
3.1666,0.94928,274.6816,1203,190.5,159.045,0.25335,1.5659,0
7.2671,2.2972,412.8863,2068,107,102.1481,0.21892,1.6197,0
2.2085,0.81294,252.4108,837,143.5,119.7608,0.083008,1.4539,0
60.2201,7.4232,1090.3637,10578,83.5,76.312,0.67825,1.5198,0
2.5841,0.84666,262.6857,986,149.5,106.5177,0.12711,1.1248,0
3.7522,0.93918,196.7139,883,238.5,169.7628,0.094206,1.4158,0
19.8789,3.018,300.1624,2587,176,108.1822,0.29461,1.0895,0
174.1514,12.0299,534.7902,8011,127.5,128.9081,1.1592,1.2691,0
5.6752,1.7367,316.2803,1404,99,90.095,0.10613,1.3324,0
4.591,1.4049,200.3461,876,209.5,170.036,0.085272,1.4535,0
8.1714,2.4813,531.9805,2251,9,55.3682,0.07581,0.83279,0
51.7465,5.7479,240.3157,2725,218,207.9688,0.50778,1.4914,0
17.035,2.6506,195.453,1758,193.5,182.111,0.44289,1.5705,0
5.368,1.8415,320.4704,1402,100.5,133.1889,0.15633,1.1799,0
3.9198,1.492,325.5075,1236,127.5,149.0817,0.15363,1.548,0
4.5869,1.5684,348.7314,1519,71,84.7362,0.20998,0.97913,0
3.5499,1.2884,308.5212,1127,152.5,73.3563,0.11001,1.3029,0
3.5656,0.94842,136.7711,724,222.5,219.3487,0.14611,1.1994,0
3.8772,1.2055,250.0109,1102,153,162.6329,0.091894,1.3173,0
1.5881,-0.13219,140.7541,470,252,202.1536,0.12105,1.6529,0
4.9105,1.6007,330.8362,1406,137.5,84.9559,0.072024,1.2058,0
2.3878,0.68315,218.3035,941,165,159.0575,0.13428,1.2043,0
12.3829,2.6335,332.6106,2093,113,89.7821,0.3663,1.3855,0
8.6692,2.3927,386.7247,1951,95.5,103.0044,0.13252,1.4029,0
3.9432,1.279,304.1236,1328,138,99.2575,0.12269,1.1026,0
1.7832,0.16731,142.8324,515,260,208.1728,0.11118,1.498,0
2.9651,1.2594,283.3679,925,134,156.9484,0.071533,1.3789,0
5.7626,1.9367,341.2679,1411,116.5,108.3746,0.085035,1.3167,0
33.8253,3.2627,97.1861,1155,253,238.8307,0.24923,1.1484,0
2.0902,-0.21589,133.4541,650,295.5,194.7751,0.14064,1.2698,0
4.813,1.2943,202.1654,1067,228,162.7852,0.10563,1.4145,0
32.1649,3.4127,160.1692,1742,266,205.8254,0.48605,1.6614,0
3.9862,1.14,285.4908,1408,171.5,85.0569,0.16953,1.457,0
246.1653,15.5344,918.2273,14776,189.5,144.7065,0.93098,0.35635,0
2.0819,0.18794,183.9482,633,259,122.6694,0.080504,1.5198,0
10.3245,2.8857,641.0808,2995,13,28.6689,0.12833,1.4051,0
17.3811,1.9588,218.9933,2018,269,131.073,0.49304,1.6576,0
2.8952,0.75731,198.5032,743,241.5,155.8239,0.11249,1.4125,0
4.8479,1.7439,404.5201,1639,46.5,62.7686,0.14605,1.5646,0
5.6477,1.791,336.0742,1489,129,118.4216,0.16908,1.3564,0
6.016,1.6951,213.5968,1149,189,185.5299,0.17706,1.6137,0
5.2058,1.7016,269.0494,1192,137.5,159.7831,0.138,1.2894,0
13.2569,2.6516,292.0714,2249,150,158.2988,0.28539,1.3987,0
17.382,2.8439,255.1864,2181,209,196.742,0.32278,0.95609,0
4.913,0.73702,159.3482,1116,254.5,197.4776,0.15468,1.0638,0
247.379,15.592,1042.1577,16755,186,133.8388,0.9398,0.29523,0
1.6736,-0.07386,184.1563,634,253,111.1807,0.17621,1.5989,0
36.2321,5.2995,329.5218,2818,165,178.8777,0.2748,0.81942,0
18.4795,3.2277,330.9381,2719,172,208.6042,0.45053,1.5661,0
2.7785,-0.04713,130.2167,734,267,208.1835,0.12045,1.4046,0
42.4789,5.5896,376.6482,3658,174,130.6983,0.34678,1.0221,0
10.7833,2.6285,307.8613,1746,205.5,124.536,0.16727,1.035,0
2.8244,-0.48059,111.4486,477,263.5,205.8097,0.12007,1.688,0
7.5533,1.8417,210.0043,1076,259,163.401,0.12043,1.2257,0
1.6702,0.20513,226.7875,735,258,267.0165,0.10783,1.5843,0
11.3092,2.9834,445.1473,2398,71,115.198,0.25273,1.5359,0
215.4691,14.0674,757.377,11840,126.5,104.3609,0.83918,0.4858,0
3.5299,1.2933,257.7904,985,175.5,136.9485,0.15741,1.2897,0
11.2736,2.7018,368.3006,2117,93.5,98.6159,0.1729,1.2202,0
4.2802,1.3154,166.6827,743,212,209.6803,0.14685,1.3487,0
17.697,3.7937,385.5282,2315,132.5,158.4217,0.10991,1.0712,0
1.7746,-0.10678,166.1613,571,247.5,194.9884,0.088284,1.5956,0
1.9176,0.60287,277.6228,962,78,69.1817,0.082955,1.5194,0
122.7915,9.7464,1106.5012,14916,11.5,18.157,1.1499,1.2807,0
13.3553,3.242,691.5689,3765,0,91.1788,0.17121,0.74701,0
69.2302,6.5217,225.1666,2740,186.5,213.1495,0.34436,0.82491,0
22.1421,3.9474,455.8863,3444,93.5,97.5911,0.43201,1.4081,0
3.5894,1.1563,256.9185,1289,159,152.3524,0.19575,1.6246,0
25.784,4.1197,344.4813,2808,146,156.6385,0.27123,1.0847,0
16.2894,3.642,587.6013,3494,73,96.5992,0.1791,1.1013,0
5.0503,1.8318,379.6877,1444,115.5,86.1106,0.11118,1.3223,0
5.1551,1.7092,281.3421,1228,126,149.6061,0.095321,1.3874,0
2.3294,0.92751,290.2751,924,101,94.228,0.068008,1.5231,0
2.3047,0.080437,127.3854,554,259,211.8925,0.10815,1.548,0
3.5936,0.80475,200.1391,1173,221,163.5855,0.29024,1.6739,0
81.4566,7.2638,225.9509,2933,204.5,208.7045,0.32827,0.85416,0
33.7858,4.8912,283.432,2473,204,182.4127,0.4554,1.4566,0
2.7913,0.86876,221.5721,827,198,146.6666,0.13663,1.1631,0
24.1086,2.8091,153.5554,1461,267,209.1856,0.36518,1.3707,0
3.7916,0.91366,143.1991,711,233,211.4578,0.10612,1.5463,0
48.1586,5.6661,276.3765,2870,229.5,150.5213,0.4506,1.3566,0
30.5095,5.0737,496.1577,3904,135,139.6979,0.38601,1.2784,0
15.5842,3.6794,794.931,4118,27,42.7196,0.17336,0.96335,0
5.0501,1.3126,176.3414,1024,206.5,197.8633,0.18631,1.5084,0
7.3947,1.5025,228.9068,1394,231,141.997,0.25511,1.3296,0
4.4057,1.5905,388.135,1546,49,65.7554,0.1184,1.4527,0
1.9345,0.15069,156.1234,606,240,180.0645,0.09359,1.4456,0
23.3224,2.8341,173.3103,1749,219,208.4116,0.31705,0.98827,0
23.7568,4.3147,313.1122,2374,189,185.9192,0.32141,1.4013,0
12.9158,3.0281,497.2549,3039,71,58.5998,0.20717,1.439,0
24.1195,3.2099,135.8811,1312,223.5,230.6857,0.36818,1.3835,0
9.4439,2.6677,488.0998,2295,77,154.7507,0.092345,0.94434,0
170.7229,11.9408,730.6699,10796,85,99.0897,0.74252,0.53143,0
4.9844,1.5492,208.1378,954,205.5,163.4692,0.2238,1.5301,0
33.8239,4.5983,336.0385,3199,205.5,173.4468,0.385,1.2752,0
9.0619,2.5056,249.6173,1442,185.5,179.0783,0.13132,1.1748,0
76.6015,6.9164,253.9126,3234,207.5,200.2526,0.54024,0.85486,0
226.7761,14.7247,1676.6062,26216,64,78.3798,1.2156,1.151,0
5.9728,1.9782,451.3049,1913,35.5,138.7517,0.23519,1.1039,0
10.3915,2.4093,253.0511,1529,204,158.2463,0.20858,1.5782,0
34.1572,3.5719,199.4579,2149,281.5,170.4475,0.47668,1.591,0
19.0455,3.5961,336.7552,2692,172,149.031,0.52485,1.6038,0
12.2711,2.9596,443.2434,2536,93.5,78.6545,0.16993,1.1684,0
13.067,2.9257,454.9116,2715,47.5,78.1124,0.1818,0.84563,0
8.08,2.056,272.0294,1634,152,152.8064,0.17067,1.1527,0
30.0455,5.0105,600.536,4453,125.5,78.695,0.28524,1.1045,0
2.9652,1.0649,290.0519,1176,73,111.4026,0.16704,1.586,0
20.3294,3.6048,276.2718,2113,230.5,158.2207,0.21909,0.98297,0
88.0406,7.4378,124.5479,1743,238,239.2353,0.30837,1.0168,0
14.7696,3.2149,432.1142,2686,77,93.7711,0.40971,1.4788,0
10.8299,2.7002,414.267,2322,124,89.9027,0.3449,1.3742,0
4.5189,1.5634,274.4098,1199,118.5,148.1741,0.21094,1.4974,0
6.1216,1.8265,288.5011,1477,183,127.8443,0.12853,1.1578,0
8.0297,2.1296,304.1555,1524,213.5,109.612,0.1849,1.5181,0
232.7439,14.9109,461.1784,7347,214,216.046,1.1919,1.2511,0
3.261,0.63026,131.7564,810,221,219.9626,0.26358,1.6839,0
5.3199,1.5626,226.2234,1243,163,172.0821,0.19725,1.4367,0
7.7073,1.6598,158.2699,998,248,211.9388,0.2254,1.2636,0
4.7416,1.6292,385.3427,1666,51,92.6348,0.15813,1.3372,0
5.1514,1.6411,244.6672,1053,163,159.3995,0.13511,1.5608,0
242.9056,15.3979,1474.1742,23489,119.5,98.1455,1.3155,1.0904,0
9.0022,2.5075,334.6795,1978,159.5,131.2707,0.19925,1.4116,0
15.5393,3.085,346.2971,2375,145.5,95.1557,0.21156,0.77387,0
3.0166,1.0291,236.5957,995,129,162.3226,0.13557,1.5992,0
24.7714,4.3949,448.2462,3407,135,110.9846,0.30346,1.2445,0
12.3316,1.0418,143.1302,1293,296,178.6842,0.37047,1.6852,0
5.6004,1.7737,384.0097,1642,39,167.8669,0.13246,1.1042,0
1.9971,0.23837,189.3201,670,294.5,131.4781,0.10578,1.6062,0
49.5098,6.6087,674.2975,6358,106,133.182,0.53972,1.4234,0
6.1237,2.0117,384.8707,1670,101,66.4981,0.10077,1.2984,0
5.2036,1.4626,246.2463,1172,192,139.3828,0.13171,1.3431,0
4.5601,1.5357,167.2739,882,181.5,216.1213,0.18216,1.1947,0
16.8315,3.5551,598.3555,3933,52.5,48.9042,0.25436,0.93848,0
4.4792,1.0828,205.7676,997,259,157.3766,0.21269,1.0465,0
15.1903,2.9794,409.9947,3233,101,97.2801,0.47867,1.558,0
8.3688,2.1225,268.1135,1453,215.5,113.9405,0.13072,1.3342,0
1.7776,0.63486,234.2234,726,114.5,149.491,0.10021,1.533,0
2.5436,0.95244,308.346,1065,106.5,169.8531,0.069444,1.4696,0
2.2861,0.78751,218.6414,753,165,155.2078,0.071883,1.631,0
1.8071,-0.031306,155.6489,638,271,177.8505,0.1363,1.237,0
2.1969,0.80594,305.4623,1039,70.5,60.0751,0.082048,1.4795,0
6.2378,0.60892,134.9616,1007,293,214.9367,0.31006,1.6532,0
8.0623,2.1375,206.2848,1163,214.5,201.0268,0.26413,1.5134,0
6.8036,1.7262,249.2471,1274,179,147.2509,0.1133,1.1853,0
5.4077,1.8017,382.1905,1877,78.5,61.6882,0.21888,1.3245,0
3.4789,1.0014,198.873,810,218.5,155.4236,0.11461,1.4893,0
4.2804,1.462,240.8407,966,167,164.3823,0.08072,1.3896,0
5.3617,1.7412,257.2783,1140,179.5,160.0803,0.12102,1.1527,0
40.1112,5.5802,338.1737,3171,195,176.1746,0.3252,0.90588,0
8.9301,2.0321,297.2914,1866,136.5,116.9687,0.27679,1.2413,0
33.9723,5.1705,703.2915,5913,52.5,63.302,0.30346,0.79842,0
7.3069,2.2597,463.3508,2059,69,56.3329,0.15959,1.4102,0
2.0893,0.44607,190.3765,732,212.5,180.476,0.10953,1.2649,0
2.9717,1.1353,325.5565,1152,78.5,73.8169,0.080258,1.5163,0
94.3116,7.7717,418.5714,5455,84,122.8845,0.62817,0.68195,0
4.0095,1.2743,283.6691,1211,120,126.9546,0.10759,1.2858,0
5.1732,1.7903,451.0914,2070,8,26.0001,0.19444,1.1838,0
29.4098,4.8016,722.7935,5564,9,22.8943,0.36452,1.3318,0
3.0433,0.93988,164.132,682,219,206.8941,0.15013,1.4591,0
2.5883,0.85294,239.3749,853,201,126.7382,0.085663,1.5847,0
7.2522,2.1319,305.2349,1424,167,132.6305,0.09217,1.3956,0
7.4587,1.9177,243.1268,1380,136.5,165.591,0.1265,0.97964,0
15.1295,3.0485,354.9526,2254,92,106.3102,0.17857,0.93444,0
2.1799,0.7363,271.4811,849,207,104.8112,0.072391,1.447,0
5.3655,1.6376,274.1875,1238,199.5,121.1767,0.093999,1.275,0
2.1893,0.7883,313.8892,1084,12,64.7407,0.18386,1.5669,0
249.9326,15.7128,1043.8951,16816,215,161.3103,1.3817,1.0444,0
5.2905,1.8276,396.4328,1858,54,77.9635,0.15663,0.90301,0
24.9237,4.2001,365.136,3052,147.5,131.9675,0.38737,1.3833,0
8.6105,2.3681,356.9783,1949,133.5,120.6853,0.14513,1.1274,0
156.1201,11.3129,281.3742,4209,222,215.1232,0.52768,0.79809,0
57.5192,6.2876,324.4771,3497,129,184.5535,0.65221,1.2566,0
13.7282,3.1961,521.5569,3360,32,82.7207,0.30429,1.5954,0
238.3276,15.1797,1579.7493,25030,60,59.9847,1.3456,1.0886,0
18.9163,3.5401,272.6988,1937,157,179.7438,0.25244,1.2129,0
16.3329,2.2325,128.4673,1131,263.5,219.8373,0.34782,1.6438,0
